,상권_코드,상권_코드_명,위도,경도,총_유동인구_수,당월_매출_금액
577,3110749,금산초등학교(금천고등학교),37.44205287827401,126.90514583518676,528090,5972641503
578,3110750,시흥4동주민센터(서울신흥초등학교),37.45774067716475,126.90659536161564,683756,4306461437
579,3110681,온수역 1번,37.49189523430989,126.82491102406816,27531,207426583
580,3110683,오류고등학교,37.49882785373005,126.82755240000924,269992,1285589451
581,3110703,개봉역,37.49518443032285,126.85897502647666,643662,10245933187
582,3110704,고척중학교,37.49941573919038,126.8637394104501,49822,494778406
583,3110706,그라운드 고척,37.50124697834684,126.86565863686842,282867,9269549738
584,3110722,G타워,37.48023108551514,126.89717210666026,347534,2735727732
585,3110723,가산디지털단지역 1번 출입구,37.48321884165624,126.88358899345992,306298,1900212686
586,3110724,금천구립가산도서관,37.47307117184461,126.89060246530504,602999,923213977
587,3110725,가산동주민센터,37.47775628898691,126.89045996878538,252144,7209436239
588,3110803,신길2동우편취급국,37.51263424047317,126.912001454751,1289613,2357478536
589,3110804,신풍역 1번,37.49952522564555,126.9128197716422,1083360,6126026303
590,3110805,신길새마을금고신길4동지점,37.505805144681965,126.91269937112725,253583,493626619
591,3110733,금천어울림복지센터,37.4585800861235,126.89749563002177,265737,513474009
592,3110734,금천파출소,37.45366183872093,126.89898290125244,35656,68354682
593,3110735,말미고개,37.462708144784365,126.89915158569944,1049888,3764224781
594,3110736,독산119안전센터,37.46757501512585,126.90081805088234,838567,4713903312
595,3110755,동일여자고등학교,37.45088873344512,126.91283104206283,251166,3440954992
596,3110756,문래중학교,37.52289909328725,126.88357261885147,268002,728820417
597,3110757,양평역 2번,37.52482776865417,126.88411263138504,223765,10956049310
598,3110758,문래소공원,37.52089298434439,126.8867883749812,319027,683618233
599,3110807,신길역 3번,37.51778935200958,126.91386182257448,472194,279757305
600,3110774,당산반도유보라팰리스아파트,37.52837403542412,126.89978729477907,586309,1293852779
601,3110775,대동초등학교,37.49188456755702,126.90121560959574,179756,1591696922
602,3110776,도신초등학교,37.49754391638084,126.90245209989304,688196,8403564084
603,3110643,강서구다솔마을,37.55551460862733,126.81871882923258,526501,10907530045
604,3110644,신광명마을,37.54741365896421,126.82402307103172,83524,1253270879
605,3110645,우장산역 4번,37.55222974420196,126.83351789025176,1321280,12141203063
606,3110790,대림1동주민센터,37.49761925247407,126.90647786314138,511476,2792582371
607,3110791,신풍역 3번,37.49981832015513,126.90725543679012,120774,1437157123
608,3110792,영등포역 2번,37.51188305687823,126.9076137652341,1870577,5345019998
609,3110793,대림썬프라자,37.49601644101264,126.90772378123626,32804,494641621
610,3110808,신길역 1번,37.51660931860897,126.91424776874356,532748,13021452
