번호,자치구명,관리번호,도로(가로)명,설치위치,           설치지점,     수거 쓰레기 종류,              형태,설치연도,데이터기준일자
62,양천구,31,공항대로,등촌역4번출구 앞,② 지하철역 입구,② 재활용품 수거용,① 일반 사각쓰레기통,2019년,2023-01-21
63,양천구,32,목동동로298,행복한백화점 건너편 공동화장실 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
64,양천구,32,목동동로298,행복한백화점 건너편 공동화장실 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
65,양천구,33,목동동로240,목운초등학교 버스정류장 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
66,양천구,33,목동동로240,목운초등학교 버스정류장 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
67,양천구,34,목동서로252,서울탑치과 버스정류장 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
68,양천구,34,목동서로252,서울탑치과 버스정류장 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
69,양천구,35,목동로186,7단지 후문 버스정류장 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
70,양천구,35,목동로186,7단지 후문 버스정류장 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
71,양천구,36,목동서로159-2,오목공원(CBS교차로 앞),④ 광장 등 다중집합장소,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
72,양천구,36,목동서로159-2,오목공원(CBS교차로 앞),④ 광장 등 다중집합장소,② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
73,양천구,37,목동서로155,목동 파라곤 버스정류장 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
74,양천구,37,목동서로155,목동 파라곤 버스정류장 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
75,양천구,38,목동서로100,목3단지 302동 버스정류장 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
76,양천구,38,목동서로101,목3단지 303동 버스정류장 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
77,양천구,39,목동서로38,월촌중학교 버스정류장 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
78,양천구,39,목동서로38,월촌중학교 버스정류장 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
79,양천구,40,목동동로430,이대목동병원 버스정류장 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
80,양천구,40,목동동로430,이대목동병원 버스정류장 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
81,양천구,41,목동동로350,목5단지 B상가 버스정류장 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
