정류장번호,경도,위도,정류장명,행정동
16493,126.8065584,37.56426742,방화중학교,방화동
16494,126.8680232,37.55510781,한마음아파트,염창동
16495,126.8708997,37.55551558,우성아파트앞,염창동
16496,126.8709494,37.55556159,우성아파트,염창동
16497,126.8517273,37.53664757,봉제산정상,화곡동
16498,126.8184522,37.58340384,생태공원,방화동
16499,126.8400698,37.55942198,NC백화점앞,등촌동
16500,126.8737556,37.54729799,염창역1번출구.강서평생학습관,염창동
16501,126.8563185,37.53669741,명지해드는터아파트,화곡동
16502,126.8541662,37.55445714,하이웨이주유소,화곡동
16503,126.8194426,37.57883323,서광아파트,방화동
16505,126.8751414,37.54833031,대림아파트,염창동
16506,126.8531016,37.55249234,하나마트,화곡동
16507,126.8186173,37.57600074,정곡초교,방화동
16508,126.8429615,37.55909511,등명중학교,등촌동
16509,126.8760291,37.54946212,동아3차아파트,염창동
16510,126.8551022,37.53750509,미주아파트,화곡동
16511,126.8520878,37.55062851,백연공원,화곡동
16512,126.8134051,37.57681441,방화4단지,방화동
16513,126.8458654,37.55882591,등촌3동성당사거리,등촌동
16514,126.8732765,37.55023775,새마을금고,염창동
16515,126.8540245,37.53715955,방송인아파트,화곡동
16516,126.8512243,37.54947853,KC대학교,화곡동
16517,126.8135875,37.57859255,방화3동주민센터,방화동
16518,126.8476783,37.55956986,등촌6단지,등촌동
16519,126.8703833,37.55242246,관음삼성.보람더하임아파트,염창동
16520,126.8544107,37.53642473,공작세탁소,화곡동
16521,126.8502357,37.54861944,골목시장,화곡동
16522,126.8123069,37.57680366,방화역,방화동
16523,126.8487623,37.56140678,등촌9단지,등촌동
16524,126.870934,37.55335209,염창중학교,염창동
16525,126.8558936,37.53496227,대통마트,화곡동
16526,126.8492844,37.54780995,SK브로드밴드강서방송,화곡동
16527,126.8192213,37.57575747,정곡초교,방화동
16529,126.8576985,37.53251978,남부시장,화곡동
16530,126.8474755,37.54577025,태원빌딩,화곡동
16531,126.8203507,37.57411741,방화2단지,방화동
16532,126.8166372,37.55443733,다솔마을,공항동
16533,126.8461489,37.54425919,국민은행,화곡동
16535,126.8528365,37.56126595,등촌7단지아파트,등촌동
16536,126.8698493,37.55617403,삼천리아파트,염창동
16537,126.8580424,37.53074774,원비디오,화곡동
16538,126.84422,37.54283113,본동시장,화곡동
16540,126.8114927,37.57486654,한서고등학교.보람아파트,방화동
16541,126.8678151,37.5550445,한마음아파트,염창동
16542,126.8572149,37.52979428,곰달래아파트,화곡동
16543,126.8479741,37.5426468,본동사무소,화곡동
16544,126.8422124,37.54124705,볏골어린이공원,화곡동
16545,126.8121203,37.57339972,방신시장.LG베스트샵,방화동
16547,126.8542115,37.52943377,삼성아파트,화곡동
16548,126.8490739,37.54217874,거성빌라,화곡동
16551,126.8509972,37.55382512,한국건강관리협회,화곡동
16552,126.8626081,37.55718046,이마트.증미역,가양동
16553,126.8518067,37.5291208,은창아파트,화곡동
