정류장번호,경도,위도,정류장명,행정동
16561,126.8459194,37.54411202,우체국,화곡본동
16562,126.8367589,37.57556406,벽산아파트,가양1동
16563,126.8477997,37.5532921,우장산꿈에그린아파트,화곡6동
16564,126.8550856,37.55661729,등촌현대아파트,등촌1동
16565,126.8463346,37.53260556,까치산역,화곡8동
16566,126.8514174,37.54000556,본동슈퍼,화곡본동
16567,126.8465565,37.54358481,화곡초교,화곡본동
16568,126.8366174,37.57556026,벽산아파트,가양1동
16569,126.8465771,37.55287241,롯데3차APT,화곡6동
16570,126.8540033,37.55556979,하이웨이주유소,등촌1동
16571,126.8460804,37.53354057,까치시장,화곡8동
16572,126.8515081,37.53877208,약수터,화곡8동
16573,126.8369598,37.5742938,금호APT,가양1동
16574,126.8442712,37.55306583,강서구민회관,우장산동
16575,126.8534899,37.55765699,경복비즈니스고등학교,등촌1동
16576,126.8477613,37.53434202,제일은행,화곡8동
16577,126.8374305,37.57183087,겸재정선미술관입구,가양1동
16578,126.8416539,37.55436714,발산어린이집,우장산동
16579,126.8468187,37.53599341,까치약국,화곡8동
16580,126.850105,37.53754473,삼거리,화곡8동
16581,126.8405796,37.55447022,롯데1차,우장산동
16582,126.8564121,37.56019896,가양역.현대프린스텔,등촌1동
16583,126.8480296,37.53652032,개나리슈퍼,화곡8동
16584,126.851594,37.53654107,봉제산정상,화곡8동
16585,126.8403761,37.5687081,양천초등학교.겸재정선기념관,가양1동
16586,126.8399796,37.55453248,강서노인회관,우장산동
16587,126.8619221,37.55723102,이마트.증미역,등촌1동
16588,126.8492383,37.5369625,빨래터세탁소,화곡8동
16589,126.8512591,37.53593151,안골공원,화곡8동
16590,126.8406976,37.5667781,양천향교역,가양1동
16591,126.838137,37.55472754,우장산월드메르디앙아파트,우장산동
16592,126.8139764,37.57328917,방화동동부센트레빌아파트,방화1동
16593,126.8502334,37.53733682,삼거리,화곡8동
16594,126.8510241,37.53519411,강남슈퍼,화곡8동
16595,126.8179219,37.57283309,프라임마트,방화1동
16596,126.8653894,37.55514359,태영.삼성한사랑아파트,등촌1동
16597,126.8508561,37.53757663,태창아파트,화곡8동
16598,126.851208,37.53259739,신정초교,화곡8동
16599,126.8515067,37.5400282,본동슈퍼,화곡본동
16600,126.8394784,37.56288763,꽃단지,등촌3동
16601,126.8224833,37.57027051,마곡한솔솔파크,방화1동
16602,126.8556444,37.56091078,가양역,가양3동
16603,126.8224297,37.56873131,길훈아파트,방화1동
16604,126.8205791,37.56899813,마곡중학교,방화1동
16605,126.8033334,37.55954037,김포공항국내선,공항동
16606,126.8276309,37.56718292,마곡나루역,가양1동
16608,126.8278669,37.56991268,롯데R&D센터,가양1동
