구,동,인구,면적,인구밀도,연도
강동구,성내1동,20561,0.58,35450,2019
강동구,성내2동,25186,0.67,37591,2019
강동구,성내3동,23921,0.71,33692,2019
강동구,둔촌1동,283,0.92,308,2019
강동구,둔촌2동,27752,0.98,28318,2019
강동구,암사1동,36693,1.02,35974,2019
강동구,천호2동,35904,1.57,22869,2019
강동구,길동,46367,2.17,21367,2019
종로구,사직동,9806,1.23,7972,2020
종로구,삼청동,2909,1.49,1952,2020
종로구,부암동,10333,2.27,4552,2020
종로구,평창동,18582,8.87,2095,2020
종로구,무악동,8592,0.36,23867,2020
종로구,교남동,10634,0.35,30383,2020
종로구,가회동,4418,0.54,8181,2020
종로구,종로1.2.3.4가동,8448,2.35,3595,2020
종로구,종로5.6가동,5656,0.60,9427,2020
종로구,이화동,8111,0.78,10399,2020
종로구,창신1동,5964,0.31,19239,2020
종로구,창신2동,9503,0.26,36550,2020
종로구,창신3동,7107,0.23,30900,2020
종로구,숭인1동,6388,0.23,27774,2020
종로구,숭인2동,10178,0.35,29080,2020
종로구,청운효자동,12633,2.57,4916,2020
종로구,혜화동,19734,1.12,17620,2020
중구,소공동,3011,0.95,3169,2020
중구,회현동,5757,0.84,6854,2020
중구,명동,3685,0.99,3722,2020
중구,필동,4754,1.14,4170,2020
중구,장충동,5468,1.36,4021,2020
중구,광희동,6416,0.74,8670,2020
중구,을지로동,1967,0.60,3278,2020
중구,신당5동,10867,0.39,27864,2020
중구,황학동,13531,0.33,41003,2020
중구,중림동,12801,0.48,26669,2020
중구,신당동,9191,0.55,16711,2020
중구,다산동,14725,0.51,28873,2020
중구,약수동,17354,0.48,36154,2020
중구,청구동,14281,0.34,42003,2020
중구,동화동,10827,0.26,41642,2020
용산구,후암동,18202,0.86,21165,2020
용산구,용산2가동,11272,1.96,5751,2020
용산구,남영동,8116,1.19,6820,2020
용산구,원효로2동,14331,0.71,20185,2020
용산구,효창동,10326,0.44,23468,2020
용산구,용문동,12455,0.28,44482,2020
용산구,이촌1동,28961,2.86,10126,2020
용산구,이촌2동,8808,1.22,7220,2020
용산구,이태원1동,8764,0.57,15375,2020
용산구,이태원2동,10795,0.86,12552,2020
용산구,서빙고동,14000,2.80,5000,2020
용산구,보광동,15531,0.71,21875,2020
용산구,청파동,20496,0.91,22523,2020
용산구,원효로1동,16730,0.59,28356,2020
용산구,한강로동,22097,2.90,7620,2020
용산구,한남동,23761,3.01,7894,2020
성동구,왕십리2동,17416,0.41,42478,2020
성동구,마장동,23459,1.05,22342,2020
성동구,사근동,13512,1.10,12284,2020
성동구,행당1동,14363,0.59,24344,2020
성동구,행당2동,24151,0.42,57502,2020
성동구,응봉동,15824,0.57,27761,2020
성동구,금호1가동,15795,0.46,34337,2020
성동구,금호4가동,14842,0.84,17669,2020
성동구,성수1가1동,16851,1.97,8554,2020
성동구,성수1가2동,13738,0.89,15436,2020
성동구,성수2가1동,17146,1.17,14655,2020
성동구,성수2가3동,11457,1.03,11123,2020
성동구,송정동,11143,0.75,14857,2020
성동구,용답동,12724,2.31,5508,2020
성동구,왕십리도선동,27588,0.72,38317,2020
성동구,금호2.3가동,23584,0.64,36850,2020
성동구,옥수동,26912,1.94,13872,2020
광진구,화양동,25541,1.16,22018,2020
광진구,군자동,21903,0.74,29599,2020
광진구,중곡1동,16190,0.62,26113,2020
광진구,중곡2동,22285,0.55,40518,2020
광진구,중곡3동,16902,0.60,28170,2020
광진구,중곡4동,29815,2.32,12851,2020
광진구,능동,11913,1.10,10830,2020
광진구,구의1동,22700,0.56,40536,2020
광진구,구의2동,27444,1.39,19744,2020
광진구,구의3동,29588,1.02,29008,2020
광진구,광장동,35619,2.39,14903,2020
광진구,자양1동,23710,0.57,41596,2020
광진구,자양2동,26016,1.68,15486,2020
광진구,자양3동,28957,1.20,24131,2020
광진구,자양4동,21526,1.16,18557,2020
동대문구,회기동,12663,0.76,16662,2020
동대문구,휘경1동,15362,0.63,24384,2020
동대문구,휘경2동,24992,1.05,23802,2020
동대문구,청량리동,20432,1.20,17027,2020
동대문구,용신동,32602,1.61,20250,2020
동대문구,제기동,27017,1.18,22896,2020
동대문구,전농1동,30722,1.19,25817,2020
동대문구,전농2동,19449,0.86,22615,2020
동대문구,답십리2동,29486,0.85,34689,2020
동대문구,장안1동,39287,1.25,31430,2020
동대문구,장안2동,33339,1.09,30586,2020
동대문구,이문1동,21205,1.04,20389,2020
동대문구,이문2동,20947,0.69,30358,2020
동대문구,답십리1동,29511,0.81,36433,2020
중랑구,면목2동,25214,0.77,32745,2020
중랑구,면목4동,19270,0.87,22149,2020
중랑구,면목5동,14661,0.70,20944,2020
중랑구,면목7동,22714,1.20,18928,2020
중랑구,상봉1동,24912,0.88,28309,2020
중랑구,상봉2동,20214,0.65,31098,2020
중랑구,중화1동,20400,0.64,31875,2020
중랑구,중화2동,26073,1.01,25815,2020
중랑구,묵1동,35588,1.20,29657,2020
중랑구,묵2동,19672,0.67,29361,2020
중랑구,망우3동,17508,0.92,19030,2020
중랑구,신내1동,39831,2.56,15559,2020
중랑구,신내2동,21302,0.93,22905,2020
중랑구,면목본동,35424,0.84,42171,2020
중랑구,면목3.8동,25995,1.63,15948,2020
중랑구,망우본동,30784,3.03,10160,2020
성북구,돈암1동,15379,0.49,31386,2020
성북구,돈암2동,24686,0.48,51429,2020
성북구,안암동,16580,1.33,12466,2020
성북구,보문동,16123,0.56,28791,2020
성북구,정릉1동,18929,0.44,43020,2020
성북구,정릉2동,23736,1.17,20287,2020
성북구,정릉3동,16847,3.71,4541,2020
성북구,정릉4동,25993,3.13,8304,2020
